博文网址,发帖子人,博文发布时间,来自,博文内容,转发数,评论数,点赞数,博文图片,博文视频,评论者,评论内容,评论时间,评论点赞,二级评论人,二级评论内容,二级评论时间,二级评论点赞
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,有一米八,人家女孩子也不傻，争吵不愉快想走，可以直接叫司机停车的，为什么跳车，为什么没刹车，司机都脱不了干系,2月24日 11:30,29908,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,卖不出衣服的小哥哥,如果不上热搜他们都从来不找家属，女孩弟弟都说了，没上热搜之前你们都没去看过在医院的女孩！没底线！,2月24日 11:31,22563,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,七日甜份,真当网友都是傻子？跳车不知道立马停车？为什么偏航3次，路线越来越黑，一盏路灯都没有，才23岁的女孩，你说她当时是有多么的恐惧？,2月24日 11:36,19194,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,啾咪一口甜桃,这个女孩子真的太惨了,2月24日 11:30,8389,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,雾冷深山,就算她轻生，她打开窗户费力跳窗还拉不住么？连刹车都没有么？,2月24日 11:31,7298,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,每日甜份,请严格审核平台的司机，不要什么地痞流氓都招,2月24日 11:32,6615,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,某个·春天,幸亏女孩职业上升期，幸亏女孩养宠物，幸亏女孩在工作群讲话。如果但凡女孩有点内向，有点工作平平，有点不爱养宠物。。。那自杀的锅是背定了。想想都后怕，赶紧养只宠物去，以免遭遇不测被人说是自杀,2月24日 12:39,4675,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,iBingo,货拉拉这网速够慢的吧，终于想起来在车里安监控录音了。,2月24日 11:36,3494,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,雾冷深山,滴滴已经各种改进保障在前了，后面的企业没学到一点教训么？,2月24日 11:31,2788,,,,
https://weibo.com/2656274875/K3oq29zNV?refer_flag=1001030103_&type=comment#_rnd1614998114723,央视新闻,2月24日 11:29,微博 weibo.com,"
                                                                                                                        【#央视评女孩跳车身亡货拉拉难辞其咎#：#非正常死亡事件暴露出货拉拉种种不正常#】如果正常，行车应有录音，既保证乘客也保护司机；如果正常，偏航应有预警，让安全可控；如果正常，平台应第一时间获知行车异常状况……可悲剧暴露了货拉拉在安全保障系统上的各种非正常！目前，货拉拉发布道歉声明，可惜这种安全意识来晚了，又是付出悲剧代价后，才看到漏洞和问题。这起震动公众安全感的非正常死亡事件，再次为全行业敲响了警钟——人命关天，运营规范无小事、安全保障无小事！#央视热评#                                            ",4128,9378,233718,http://wx2.sinaimg.cn/mw690/002TLsr9ly1gnygri5f11j60sg3zhwz202.jpg,,糖芯_Sweet,为啥是跳窗，一般不都是拉门跳车吗？是不是车门给锁住了打不开啦？女孩跳窗前应该有一些别的动作吧，至少窗户得打开到足够大吧，难道动作快到司机连一脚刹车或减速的时间都没有？希望早日真相大白！,2月24日 11:37,1869,,,,
